,Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
5573,3625445,WHS2_131,COUNTRY,LAO,WPR,YEAR,Western Pacific,SEX,2014,SEX_MLE,,,,,,,820 [500-1310],823.79675293,504.521575928,1314.860473633,,2025-03-19T11:00:50.48+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
5574,3627131,WHS2_131,REGION,SEAR,,YEAR,,SEX,2002,SEX_MLE,,,,,,,620 [460-890],621.848388672,461.395111084,885.244018555,,2025-03-19T11:00:50.48+01:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
5575,3627506,WHS2_131,COUNTRY,SLB,WPR,YEAR,Western Pacific,SEX,2014,SEX_MLE,,,,,,,1060 [640-1570],1060.712646484,644.464294434,1565.668579102,,2025-03-19T11:00:50.48+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
5576,3628521,WHS2_131,COUNTRY,GNB,AFR,YEAR,Africa,SEX,2000,SEX_MLE,,,,,,,1020 [580-1650],1015.77355957,580.983459473,1647.997436523,,2025-03-19T11:00:50.48+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
5577,3631891,WHS2_131,COUNTRY,SOM,EMR,YEAR,Eastern Mediterranean,SEX,2002,SEX_BTSX,,,,,,,890 [410-1630],886.564575195,411.673797607,1632.146240234,,2025-03-19T11:00:50.48+01:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
5578,3632962,WHS2_131,COUNTRY,BTN,SEAR,YEAR,South-East Asia,SEX,2020,SEX_FMLE,,,,,,,420 [230-760],424.373199463,225.499008179,758.20892334,,2025-03-19T11:00:50.48+01:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
5579,3633130,WHS2_131,WORLDBANKINCOMEGROUP,WB_HI,,YEAR,,SEX,2007,SEX_MLE,,,,,,,560 [480-640],555.372192383,482.834686279,642.349914551,,2025-03-19T11:00:50.48+01:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
5580,3638154,WHS2_131,COUNTRY,SLV,AMR,YEAR,Americas,SEX,2017,SEX_MLE,,,,,,,600 [440-960],597.940490723,440.415893555,959.790161133,,2025-03-19T11:00:50.48+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
5581,3638644,WHS2_131,COUNTRY,COL,AMR,YEAR,Americas,SEX,2006,SEX_BTSX,,,,,,,480 [370-580],475.655609131,373.832702637,576.59362793,,2025-03-19T11:00:50.48+01:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
5582,3638746,WHS2_131,COUNTRY,MDV,SEAR,YEAR,South-East Asia,SEX,2000,SEX_BTSX,,,,,,,760 [490-1140],762.772155762,492.851623535,1135.194702148,,2025-03-19T11:00:50.48+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
